des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 FB1,4,2460398.615587139,2024-Mar-29 02:46,0.0194390108950631,0.0193517137488462,0.0195263068018772,13.1727070480866,13.1622974300818,< 00:01,25.23
2024 GB1,1,2460398.628850249,2024-Mar-29 03:06,0.0768868136207604,0.0751842592678525,0.0785893220775293,4.33568609163958,4.32768584217125,01:58,26.64
2024 JA7,2,2460398.649622932,2024-Mar-29 03:35,0.0472102809245833,0.0466667316830397,0.0477537453195893,4.32843732628501,4.31537861689613,03:00,25.76
2024 GH,2,2460398.800962694,2024-Mar-29 07:13,0.0366200516062371,0.0364960703238601,0.0367440315704311,9.67567753834785,9.66815471466496,< 00:01,26.17
2024 FK,5,2460399.237712458,2024-Mar-29 17:42,0.00802841355880238,0.00799593031908669,0.00806089632482888,19.1498065557293,19.1324679215373,< 00:01,25.11
2024 ED4,3,2460399.335358466,2024-Mar-29 20:03,0.0371993260710474,0.0368311941750585,0.0375674408118685,7.80614632717101,7.79696519862963,00:02,26.38
2023 RO49,29,2460399.378441779,2024-Mar-29 21:05,0.0362215780456083,0.0362207398013997,0.0362224162899076,4.29460361967459,4.27744072345321,< 00:01,24.41
2015 MB54,37,2460399.582499886,2024-Mar-30 01:59,0.0298463216997708,0.0298461967284281,0.0298464466711169,3.83281244884104,3.80944939428478,< 00:01,23.99
2024 GC1,2,2460399.722129251,2024-Mar-30 05:20,0.0968860803252331,0.0943783657173019,0.0993938530212515,13.4353853384089,13.4333382625791,00:15,25.00
2020 DC,17,2460399.891268352,2024-Mar-30 09:23,0.0660010579024212,0.0660008243957046,0.0660012914091377,6.89510952326591,6.88925212442415,< 00:01,26.73
2024 DQ,11,2460400.208121453,2024-Mar-30 17:00,0.016448720080613,0.0163984745746157,0.0164989538530542,2.87627810894431,2.81939739961525,00:01,24.87
2023 UA9,14,2460400.771146622,2024-Mar-31 06:30,0.0891887488380708,0.0891884425867183,0.0891890550923132,2.34626618686999,2.33349861667818,< 00:01,25.03
2024 GZ1,1,2460400.815799687,2024-Mar-31 07:35,0.025866759699042,0.0254895720624495,0.0262439325832874,12.1014003919557,12.0928853357548,00:01,26.88
2024 GL,6,2460401.097802828,2024-Mar-31 14:21,0.0121712279605829,0.0121343864739075,0.0122080691090323,16.966457548728,16.9535497549343,< 00:01,24.91
2024 FQ5,1,2460401.147020030,2024-Mar-31 15:32,0.000218031885507783,0.000217708810545566,0.000218355012333092,8.58035950176025,7.01294370936667,< 00:01,30.98
2024 GY3,6,2460401.721440488,2024-Apr-01 05:19,0.0349008035422671,0.0348920560146452,0.0349095510699188,29.1996177423158,29.1970030583142,< 00:01,23.79
2024 FQ3,1,2460402.182936629,2024-Apr-01 16:23,0.00481698098156814,0.00480646236216702,0.00482749946474339,19.2657047654048,19.2369720615412,< 00:01,27.35
2021 GN1,4,2460402.279577513,2024-Apr-01 18:43,0.0579156310783801,0.0373018197719143,0.103503692455533,14.0195548303401,14.0162728711445,11:56,26.42
2024 FL,3,2460402.401172823,2024-Apr-01 21:38,0.0529191523982141,0.0525251198666773,0.0533131716436557,6.6816903834764,6.6741506111324,< 00:01,26.28
2024 FJ,3,2460402.446188675,2024-Apr-01 22:43,0.0736380660702624,0.0735683971427766,0.0737077348377611,7.72711170196698,7.72242762045356,< 00:01,25.17
2024 ED1,19,2460402.565632225,2024-Apr-02 01:35,0.098178058787942,0.0981645593204492,0.0981915582492291,5.61525926179109,5.61042405419038,< 00:01,23.75
2024 GD3,3,2460402.826045724,2024-Apr-02 07:50,0.0157801914946575,0.015482145894243,0.0160782102463889,12.009485046317,11.9954171181172,00:11,26.09
2024 GS2,5,2460403.014930206,2024-Apr-02 12:21,0.0929549146072639,0.0925301079441697,0.0933797193426154,10.7803665687332,10.7777073133915,00:02,23.86
2024 GP2,3,2460403.049783452,2024-Apr-02 13:12,0.0090545585383919,0.00897570357307115,0.00913340964018592,13.9430450306644,13.9219239318686,00:10,26.32
2024 GR,7,2460403.092698378,2024-Apr-02 14:13,0.022791478373092,0.0227129269487531,0.022870012240379,2.6765918322788,2.63255202982576,00:02,27.75
2024 CZ11,13,2460403.094139107,2024-Apr-02 14:16,0.0582332802692925,0.0582137425023409,0.0582528180280514,10.7792658957546,10.7750203116107,< 00:01,23.29
2024 FN3,4,2460403.281940338,2024-Apr-02 18:46,0.0453814043519446,0.0452354189690163,0.0455273875768232,7.15729145304912,7.14908350086004,< 00:01,25.35
2024 FG3,4,2460403.298215550,2024-Apr-02 19:09,0.0209280525769631,0.0208085480348534,0.0210475555977676,15.1095983528395,15.1011698242079,< 00:01,25.13
2024 FR3,3,2460403.470194879,2024-Apr-02 23:17,0.00886400489482741,0.00884805726127102,0.00887995222895825,10.672679263289,10.6444770563249,< 00:01,25.70
2024 FL3,2,2460404.203792873,2024-Apr-03 16:53,0.0218887785501914,0.0218638252866054,0.0219137316645143,9.60447527319763,9.59179279808176,< 00:01,25.18
678964,18,2460404.216668981,2024-Apr-03 17:12,0.0503032288780308,0.0503030432835385,0.050303414472832,8.89278700191235,8.88682867783911,< 00:01,22.45
