"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 CJ6)","2024-Feb-19 14:31 ± < 00:01","0.01177","0.01174","15.40","15.39","26.5","13 m -   30 m","0"
"(2024 CV8)","2024-Feb-19 19:21 ± < 00:01","0.00301","0.00301","17.10","17.05","26.3","15 m -   33 m","1"
"(2024 DC)","2024-Feb-19 19:49 ± < 00:01","0.03201","0.03179","9.25","9.24","26.7","12 m -   27 m","0"
"187026 (2005 EK70)","2024-Feb-20 02:28 ± < 00:01","0.09688","0.09688","15.11","15.11","17.4","900 m -  2.0 km","1"
"(2018 CW2)","2024-Feb-20 03:25 ± < 00:01","0.06533","0.06533","12.66","12.66","25.7","20 m -   44 m","0"
"(2021 SP3)","2024-Feb-20 06:37 ± < 00:01","0.10372","0.10372","11.80","11.79","23.4","56 m -  120 m","0"
"(2024 ET)","2024-Feb-20 07:33 ± < 00:01","0.05510","0.05477","7.95","7.94","25.4","22 m -   49 m","0"
"(2020 CX1)","2024-Feb-20 09:40 ± < 00:01","0.07809","0.07809","7.26","7.25","24.1","40 m -   89 m","0"
"(2014 HC199)","2024-Feb-20 13:19 ± < 00:01","0.13851","0.13851","19.05","19.05","22.4","88 m -  200 m","0"
"(2015 XX169)","2024-Feb-20 14:20 ±    00:03","0.19919","0.19919","5.24","5.24","27.4","8.8 m -   20 m","0"
"(2024 DL1)","2024-Feb-20 14:22 ±    00:02","0.01654","0.01645","10.14","10.12","27.3","9.4 m -   21 m","0"
"(2024 CB4)","2024-Feb-20 15:38 ± < 00:01","0.06031","0.05995","10.49","10.49","24.5","34 m -   76 m","0"
"(2020 CR2)","2024-Feb-20 16:24 ± 4_07:39","0.10946","0.00916","18.85","18.85","27.3","9.1 m -   20 m","0"
"(2024 CK5)","2024-Feb-20 18:45 ±    00:07","0.01873","0.01862","9.51","9.50","27.5","8.4 m -   19 m","0"
"(2024 DP1)","2024-Feb-20 18:57 ± < 00:01","0.10829","0.10738","13.21","13.21","24.4","35 m -   78 m","0"
"(2016 TL10)","2024-Feb-20 19:30 ± 4_11:34","0.17073","0.16556","5.24","5.24","27.3","9.2 m -   21 m","0"
