des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,diameter,diameter_sigma,fullname
2023 CT,4,2459982.951494621,2023-Feb-07 10:50,0.0106503397321419,0.010620937771122,0.0106797412324825,13.1876448907305,13.16866060078,< 00:01,26.64,,,       (2023 CT)
2023 FP1,2,2459982.959001511,2023-Feb-07 11:01,0.0258121720110157,0.025762896377736,0.0258614411593023,2.55907424138083,2.51841410163797,00:06,26.55,,,       (2023 FP1)
2023 BU7,2,2459983.593508102,2023-Feb-08 02:15,0.00330528968767537,0.00329144228430428,0.00331908824599408,1.65510800123813,1.06166419779953,00:11,30.71,,,       (2023 BU7)
2023 BS,6,2459983.739497830,2023-Feb-08 05:45,0.0497008313186956,0.0495853808109218,0.0498162813387724,10.8862198723841,10.8812941507326,< 00:01,24.93,,,       (2023 BS)
2023 CN1,3,2459983.784217661,2023-Feb-08 06:49,0.0131145777591911,0.0130705077995643,0.013158646178625,8.70122257963968,8.67784165664458,< 00:01,26.23,,,       (2023 CN1)
2023 BO8,5,2459983.942348973,2023-Feb-08 10:37,0.0107199488244659,0.0106904094647413,0.0107494863377305,6.6346372977766,6.59706793551611,< 00:01,26.66,,,       (2023 BO8)
2023 CU,10,2459984.182479297,2023-Feb-08 16:23,0.00566473083827105,0.00566120852082326,0.00566825297140515,4.70118746891842,4.60004758430925,< 00:01,27.23,,,       (2023 CU)
2022 CX1,5,2459984.691348947,2023-Feb-09 04:36,0.0445702228556399,0.0384673381754957,0.0507623512127967,13.1909678492136,13.1864350601042,04:16,27.05,,,       (2022 CX1)
2023 CR,3,2459984.776111066,2023-Feb-09 06:38,0.00557426673750347,0.00556035920421353,0.00558817322831485,8.08187262531639,8.0225103531214,< 00:01,28.11,,,       (2023 CR)
2023 CF1,3,2459984.887219809,2023-Feb-09 09:18,0.0223611053901033,0.0222633674202181,0.0224588372587901,5.79782940108523,5.7772408659485,< 00:01,28.00,,,       (2023 CF1)
2023 CT3,5,2459984.900843428,2023-Feb-09 09:37,0.0295409182483633,0.0293291476405226,0.0297526856110412,12.9731149512556,12.9661605375887,< 00:01,25.36,,,       (2023 CT3)
2023 CC3,8,2459985.190890168,2023-Feb-09 16:35,0.0326686487402588,0.0323313758128438,0.0330058920297699,6.15132564908664,6.13805227662466,00:01,26.94,,,       (2023 CC3)
2023 CA1,4,2459985.381249734,2023-Feb-09 21:09,0.0146446991155224,0.0146218634479773,0.0146675346012685,11.9751484802891,11.9599455690152,< 00:01,25.92,,,       (2023 CA1)
2023 CG4,1,2459985.387736328,2023-Feb-09 21:18,0.00183565896101412,0.00180208976854767,0.00186923188495116,12.1285607834029,12.0082873257622,00:52,29.22,,,       (2023 CG4)
2023 CA2,8,2459985.451886359,2023-Feb-09 22:51,0.0381547683462706,0.038019232651805,0.0382903031907562,12.5720291167292,12.5664732204307,< 00:01,24.10,,,       (2023 CA2)
2023 CZ3,2,2459985.680718454,2023-Feb-10 04:20,0.0203981775882807,0.0202613386583391,0.0205349742576652,3.41594684671605,3.37749108908816,< 00:01,27.45,,,       (2023 CZ3)
2023 CB1,6,2459985.692289748,2023-Feb-10 04:37,0.0177204108572388,0.0176856788775845,0.0177551420258261,7.11433129341358,7.09316469728353,< 00:01,26.92,,,       (2023 CB1)
2023 CQ,4,2459985.787408083,2023-Feb-10 06:54,0.00381292908365268,0.0038094997978837,0.00381635826984635,9.15734507864754,9.08071398800469,< 00:01,27.74,,,       (2023 CQ)
2023 CY2,1,2459985.940531671,2023-Feb-10 10:34,0.00729100155735674,0.00720995874090585,0.00737204100986226,12.6133179018274,12.5843113917885,00:12,28.09,,,       (2023 CY2)
2023 BC8,6,2459986.506204361,2023-Feb-11 00:09,0.0396605929551177,0.0392952491499054,0.0400259321955369,14.0456369282648,14.0408529887231,< 00:01,24.19,,,       (2023 BC8)
2023 EE,8,2459986.853976641,2023-Feb-11 08:30,0.0332384072292161,0.0331511874965015,0.0333256263450428,10.6135064517494,10.6059508705851,< 00:01,23.88,,,       (2023 EE)
2023 CN3,5,2459986.930997281,2023-Feb-11 10:21,0.0172686385100114,0.0171944363242258,0.0173428392478028,11.719261348982,11.7060879398874,< 00:01,26.38,,,       (2023 CN3)
2023 CY,5,2459987.348517677,2023-Feb-11 20:22,0.0205520393974167,0.0204999772517633,0.0206041009877867,11.0371327971841,11.0253802379331,< 00:01,26.33,,,       (2023 CY)
2023 CM3,3,2459987.499835553,2023-Feb-12 00:00,0.00563540224233069,0.00562194233391724,0.00564886032251559,5.54283265243838,5.45686467745242,00:02,28.44,,,       (2023 CM3)
2023 CR3,8,2459987.769101534,2023-Feb-12 06:28,0.0371223675298652,0.0370141198059331,0.0372306130616088,6.4504903344957,6.43935357019724,< 00:01,25.79,,,       (2023 CR3)
2023 CK2,11,2459987.918692431,2023-Feb-12 10:03,0.0400425367394392,0.0399916504210408,0.0400934230175768,20.5532536058575,20.550015847734,< 00:01,22.68,,,       (2023 CK2)
2023 CL1,4,2459988.330850805,2023-Feb-12 19:56,0.00575390849321736,0.00574560670761202,0.00576221008991614,10.9047277069557,10.862179361316,< 00:01,27.45,,,       (2023 CL1)
2023 CJ1,11,2459988.664693758,2023-Feb-13 03:57,0.032121227876503,0.032026282551372,0.0322161713974925,7.16969847382351,7.15811949769118,< 00:01,25.51,,,       (2023 CJ1)
2023 CB3,7,2459988.940840789,2023-Feb-13 10:35,0.0305962787844317,0.0304758972051175,0.0307166569540814,6.94726783684272,6.9347213527247,< 00:01,26.71,,,       (2023 CB3)
2021 EP4,3,2459989.147266848,2023-Feb-13 15:32,0.0487111594815332,0.0467113627299007,0.0510306333807218,6.14078341781565,6.13186936017528,2_03:28,29.26,,,       (2021 EP4)
2023 CU1,1,2459989.722993982,2023-Feb-14 05:21,0.0146455969895145,0.0145593221324728,0.0147318667226844,8.56548317417401,8.5442168280296,< 00:01,26.86,,,       (2023 CU1)
2023 CS6,1,2459989.736854877,2023-Feb-14 05:41,0.00481065353404573,0.00436187981772543,0.00525925902736359,19.4889616038638,19.4605211463833,00:01,29.23,,,       (2023 CS6)
2023 DB,8,2459989.882794212,2023-Feb-14 09:11,0.0173793750043623,0.0173451666512768,0.0174135801147834,3.57295183083086,3.5297817688543,< 00:01,26.91,,,       (2023 DB)
2023 CH2,2,2459989.910459546,2023-Feb-14 09:51,0.00278936300627751,0.00278679739521056,0.00279192852800745,10.0533975515318,9.95792875630811,< 00:01,26.40,,,       (2023 CH2)
2023 CP,14,2459990.231891314,2023-Feb-14 17:34,0.0439570942224721,0.0439430994864148,0.0439710888660086,3.4230500929397,3.40529602612287,< 00:01,25.16,,,       (2023 CP)
2023 CZ1,4,2459990.315603179,2023-Feb-14 19:34,0.0451736352951365,0.0449005911624728,0.045446674903649,8.57651644924872,8.56963641468735,< 00:01,26.92,,,       (2023 CZ1)
2023 CP2,6,2459990.386707110,2023-Feb-14 21:17,0.00751205760002255,0.0075077775083184,0.00751633762057257,5.08013912180072,5.00983294544013,< 00:01,27.96,,,       (2023 CP2)
2023 DD,5,2459990.689524658,2023-Feb-15 04:33,0.00551786915303024,0.00550773352039549,0.00552800445309362,10.4636661062238,10.4174154429461,00:01,26.54,,,       (2023 DD)
2023 CN2,2,2459991.114520300,2023-Feb-15 14:45,0.0117710554902088,0.0117138758148021,0.0118282324824079,9.71579361211431,9.69246760968081,< 00:01,27.72,,,       (2023 CN2)
2023 CT1,6,2459991.119717176,2023-Feb-15 14:52,0.00559317543702528,0.00557384957331049,0.00561250085807123,16.893416702395,16.8651939512771,< 00:01,26.58,,,       (2023 CT1)
199145,120,2459991.532124227,2023-Feb-16 00:46,0.0307334940082396,0.0307334315941794,0.0307335564223121,24.6485163124125,24.6449987595948,< 00:01,18.28,,,199145 (2005 YY128)
2023 CF2,2,2459991.859917757,2023-Feb-16 08:38,0.00992964905967603,0.00989815675983548,0.00996113982053434,7.93288534278645,7.89898717940463,< 00:01,28.25,,,       (2023 CF2)
2023 CV1,16,2459991.944558423,2023-Feb-16 10:40,0.0272258364437767,0.0271665177515212,0.0272851541717167,7.2501203011009,7.23660919917253,< 00:01,24.98,,,       (2023 CV1)
2023 CJ2,8,2459991.968567559,2023-Feb-16 11:15,0.0173856158086693,0.0173652981253329,0.0174059332758511,8.22681401227288,8.20816382696045,< 00:01,25.47,,,       (2023 CJ2)
2022 RG,16,2459992.288591328,2023-Feb-16 18:56,0.0210495987272053,0.0210480686024967,0.0210511288457255,3.04239950890756,3.00050541809955,< 00:01,25.61,,,       (2022 RG)
2023 CG2,5,2459992.328831535,2023-Feb-16 19:54,0.00343095671134733,0.0034222897012566,0.00343962357093548,21.3118794830149,21.2754085285532,< 00:01,27.07,,,       (2023 CG2)
2023 EF,5,2459992.347175498,2023-Feb-16 20:20,0.0344029122922896,0.0344009969232512,0.0344048276660176,5.12142593543016,5.10628094960739,00:01,26.18,,,       (2023 EF)
2023 CA3,4,2459992.732240578,2023-Feb-17 05:34,0.015111605340682,0.0149753097947867,0.015247895248943,12.4391231087237,12.4249403849861,< 00:01,27.07,,,       (2023 CA3)
2023 CS3,11,2459992.829247511,2023-Feb-17 07:54,0.0240620787735987,0.0239994663731304,0.0241246878583059,4.68150547507733,4.65779201108959,< 00:01,26.94,,,       (2023 CS3)
2023 CY1,10,2459993.302374363,2023-Feb-17 19:15,0.0117686791738903,0.0117609682141546,0.0117763900303955,6.66588836212097,6.63183678144412,< 00:01,26.19,,,       (2023 CY1)
2023 CW2,8,2459993.414339548,2023-Feb-17 21:57,0.0041607624102806,0.00416019667603569,0.00416132809862753,2.25437374560169,1.94972716836033,< 00:01,29.72,,,       (2023 CW2)
2023 CC1,7,2459993.609287313,2023-Feb-18 02:37,0.0384742957401087,0.038386016010025,0.0385625750897444,12.1641420606656,12.1584474785125,< 00:01,24.72,,,       (2023 CC1)
